Id compte,Mois,Client actif,Opérations client,Paiements carte,Paiements refusés,Dépenses carte,Dépôts
28,2025-02-01,1,32,15,0,668.43,2151.78
48,2025-02-01,1,19,5,0,305.94,446.0
47,2025-02-01,1,38,16,6,490.54,1396.44
21,2025-02-01,1,25,14,0,574.85,2040.79
55,2025-02-01,1,11,2,0,57.59,213.0
8,2025-02-01,1,24,11,0,298.27,2306.52
114,2025-02-01,0,0,0,0,0.0,0.0
75,2025-02-01,1,38,11,2,359.6,2338.24
56,2025-02-01,1,8,4,0,183.91,0.0
68,2025-02-01,1,24,14,2,848.32,1732.64
36,2025-02-01,1,10,5,0,124.55,235.0
34,2025-02-01,1,39,24,2,851.11,1118.87
29,2025-02-01,1,14,6,1,190.17,163.0
127,2025-02-01,1,13,4,0,132.29,652.0
1,2025-02-01,1,20,2,0,100.84,4059.0
71,2025-02-01,1,20,11,1,308.35,2191.55
100,2025-02-01,1,5,1,1,15.64,94.0
58,2025-02-01,1,20,13,0,427.71,2607.79
93,2025-02-01,1,8,1,0,10.3,717.0
67,2025-02-01,1,23,12,1,569.14,2152.87
45,2025-02-01,1,16,8,0,224.01,1748.21
63,2025-02-01,1,29,16,0,750.14,2382.91
98,2025-02-01,1,7,2,5,12.69,13.0
129,2025-02-01,1,13,5,0,206.57,466.0
33,2025-02-01,1,11,4,0,110.25,259.0
44,2025-02-01,1,13,6,1,247.68,128.0
15,2025-02-01,1,13,3,8,54.73,75.0
40,2025-02-01,1,26,15,0,686.04,4330.27
11,2025-02-01,1,26,9,6,431.88,2095.82
54,2025-02-01,1,6,6,0,219.01,0.0
120,2025-02-01,1,27,10,1,302.13,649.0
73,2025-02-01,1,14,7,0,274.67,71.0
4,2025-02-01,1,15,4,0,116.75,2287.0
37,2025-02-01,1,7,7,0,275.69,0.0
70,2025-02-01,1,14,9,4,312.13,310.0
61,2025-02-01,1,15,5,1,192.14,392.0
60,2025-02-01,1,10,8,0,252.45,0.0
52,2025-02-01,1,6,1,0,37.85,74.0
117,2025-02-01,1,21,10,0,230.62,1879.0
123,2025-02-01,1,14,8,9,215.8,195.0
92,2025-02-01,1,10,4,0,69.17,28.0
38,2025-02-01,1,29,9,0,340.29,2680.54
7,2025-02-01,1,18,3,0,105.89,72.0
126,2025-02-01,1,12,6,0,232.29,190.0
50,2025-02-01,1,4,1,2,52.71,0.0
14,2025-02-01,1,9,4,5,81.52,46.0
24,2025-02-01,1,4,4,0,122.63,0.0
30,2025-02-01,1,7,3,2,120.48,0.0
87,2025-02-01,1,18,8,0,286.99,471.0
86,2025-02-01,1,12,3,0,46.4,639.0
22,2025-02-01,1,17,2,5,68.84,99.0
131,2025-02-01,0,0,0,0,0.0,0.0
72,2025-02-01,1,22,6,0,108.55,507.0
90,2025-02-01,1,18,4,0,429.62,125.0
74,2025-02-01,1,10,3,0,102.06,213.0
121,2025-02-01,1,9,2,0,44.36,672.0
128,2025-02-01,1,13,3,0,100.21,812.0
85,2025-02-01,1,10,4,0,229.14,308.0
43,2025-02-01,1,8,3,6,54.68,48.0
65,2025-02-01,1,8,3,0,95.91,67.0
118,2025-02-01,1,9,2,0,33.75,357.0
97,2025-02-01,1,9,0,0,0.0,695.0
42,2025-02-01,1,26,8,5,443.71,755.0
79,2025-02-01,1,13,8,1,234.24,326.0
119,2025-02-01,1,2,0,0,0.0,0.0
104,2025-02-01,1,9,4,8,75.29,77.0
39,2025-02-01,1,7,2,5,113.98,0.0
17,2025-02-01,1,7,0,0,0.0,3389.0
19,2025-02-01,1,12,3,1,77.2,1003.0
116,2025-02-01,1,2,0,0,0.0,411.0
94,2025-02-01,1,11,5,2,141.61,156.0
23,2025-02-01,1,9,0,0,0.0,2318.0
122,2025-02-01,1,2,0,0,0.0,0.0
88,2025-02-01,1,10,2,3,38.68,68.0
130,2025-02-01,0,0,0,0,0.0,0.0
76,2025-02-01,1,9,2,1,59.92,67.0
10,2025-02-01,1,16,5,0,124.95,112.0
112,2025-02-01,1,10,1,0,32.26,483.0
106,2025-02-01,0,0,0,0,0.0,0.0
110,2025-02-01,1,8,4,0,136.22,564.0
109,2025-02-01,1,8,2,0,31.84,100.0
113,2025-02-01,1,5,1,2,15.22,21.0
132,2025-02-01,1,4,0,0,0.0,385.0
115,2025-02-01,1,2,0,0,0.0,0.0
102,2025-02-01,1,14,6,0,305.07,698.0
77,2025-02-01,0,0,0,0,0.0,0.0
108,2025-02-01,1,11,3,0,61.81,96.0
111,2025-02-01,1,2,0,0,0.0,35.0
105,2025-02-01,1,6,4,0,159.89,258.0
82,2025-02-01,0,0,0,0,0.0,0.0
49,2025-02-01,1,2,0,0,0.0,0.0
124,2025-02-01,1,4,2,0,55.76,74.0
84,2025-02-01,1,2,0,0,0.0,1080.0
96,2025-02-01,1,5,1,0,106.66,232.0
78,2025-02-01,1,2,0,0,0.0,229.0
125,2025-02-01,1,2,0,0,0.0,85.0
134,2025-02-01,1,4,0,0,0.0,2486.0
107,2025-02-01,0,0,0,0,0.0,0.0
89,2025-02-01,1,2,0,0,0.0,395.0
81,2025-02-01,0,0,0,0,0.0,0.0
103,2025-02-01,0,0,0,0,0.0,0.0
80,2025-02-01,0,0,0,0,0.0,0.0
91,2025-02-01,0,0,0,0,0.0,0.0
160,2025-03-01,1,15,8,5,133.85,111.0
40,2025-03-01,1,32,15,0,815.13,4409.72
45,2025-03-01,1,34,10,0,588.46,1918.14
102,2025-03-01,1,31,22,0,755.84,2268.87
6,2025-03-01,1,30,14,4,442.24,2341.61
15,2025-03-01,1,28,12,0,325.52,2920.8
58,2025-03-01,1,23,14,0,896.71,2589.91
72,2025-03-01,1,23,8,0,336.72,311.0
13,2025-03-01,1,48,25,0,1496.84,2532.14
31,2025-03-01,1,32,12,0,415.2,2762.06
38,2025-03-01,1,30,16,0,665.61,2232.99
94,2025-03-01,1,43,19,0,763.81,2357.39
84,2025-03-01,1,18,7,0,465.77,90.0
61,2025-03-01,1,17,4,0,154.08,385.0
12,2025-03-01,1,31,16,0,447.75,2272.77
21,2025-03-01,1,21,10,0,538.06,2068.93
42,2025-03-01,1,31,15,0,404.69,3524.01
66,2025-03-01,1,28,17,0,648.2,1613.17
76,2025-03-01,1,22,13,0,568.02,2367.3
132,2025-03-01,1,23,14,0,660.71,1946.26
43,2025-03-01,1,4,0,6,0.0,0.0
71,2025-03-01,1,25,12,0,368.72,2253.8
97,2025-03-01,1,4,2,0,29.15,0.0
104,2025-03-01,1,41,26,2,806.2,2239.23
65,2025-03-01,1,12,3,0,42.19,64.0
85,2025-03-01,1,11,3,4,67.71,0.0
125,2025-03-01,1,22,3,0,68.75,2499.0
11,2025-03-01,1,30,11,3,374.12,2115.12
39,2025-03-01,1,19,7,4,103.07,598.0
22,2025-03-01,1,38,16,0,435.85,2757.89
129,2025-03-01,1,15,8,0,205.94,368.0
137,2025-03-01,1,9,4,0,143.92,277.0
120,2025-03-01,1,27,12,1,359.4,1234.38
28,2025-03-01,1,27,14,0,394.77,2261.67
62,2025-03-01,1,33,15,0,434.52,2180.1
111,2025-03-01,1,36,26,0,1069.49,1771.03
19,2025-03-01,1,12,8,0,476.86,0.0
32,2025-03-01,1,26,14,0,591.58,2559.4
103,2025-03-01,1,9,3,3,109.92,84.0
123,2025-03-01,1,25,14,3,559.37,2951.19
63,2025-03-01,1,24,13,0,658.1,2392.5
113,2025-03-01,1,18,6,4,209.24,205.0
56,2025-03-01,1,7,3,0,215.17,0.0
79,2025-03-01,1,20,15,2,498.81,1647.81
98,2025-03-01,1,27,13,3,530.85,3354.3
68,2025-03-01,1,27,12,0,388.78,1669.38
23,2025-03-01,1,4,2,0,65.86,0.0
178,2025-03-01,1,17,6,11,194.39,229.0
134,2025-03-01,1,13,4,0,189.18,2507.0
121,2025-03-01,1,21,5,0,103.89,805.0
126,2025-03-01,1,25,13,2,443.74,1948.68
158,2025-03-01,1,9,4,4,134.98,139.0
1,2025-03-01,1,12,2,0,39.09,0.0
50,2025-03-01,1,14,9,0,313.83,86.0
34,2025-03-01,1,34,13,2,540.16,1147.38
44,2025-03-01,1,15,2,5,48.05,259.0
117,2025-03-01,1,40,17,0,747.8,2087.31
179,2025-03-01,1,24,13,0,455.39,2874.3
9,2025-03-01,1,39,19,0,640.31,1650.84
75,2025-03-01,1,20,11,0,1020.01,2336.99
8,2025-03-01,1,23,10,0,401.79,2334.34
105,2025-03-01,1,29,15,0,435.52,2044.15
166,2025-03-01,1,5,3,0,70.13,807.0
60,2025-03-01,1,7,4,5,168.88,0.0
37,2025-03-01,1,20,6,0,205.41,589.0
36,2025-03-01,1,24,5,0,87.94,1285.0
90,2025-03-01,1,16,6,0,500.9,380.0
83,2025-03-01,1,31,11,3,369.93,3114.41
96,2025-03-01,1,25,5,0,254.68,1986.0
195,2025-03-01,1,6,0,0,0.0,1744.0
172,2025-03-01,1,11,3,0,109.96,516.0
152,2025-03-01,1,14,5,16,137.97,148.0
74,2025-03-01,1,11,8,0,140.94,30.0
109,2025-03-01,1,8,3,5,34.75,99.0
108,2025-03-01,1,30,21,0,585.03,1946.7
124,2025-03-01,1,20,11,1,432.06,2750.18
183,2025-03-01,1,2,0,0,0.0,0.0
47,2025-03-01,1,34,9,8,1155.21,1522.39
67,2025-03-01,1,37,18,2,727.06,2159.04
107,2025-03-01,1,13,3,17,43.83,53.0
146,2025-03-01,1,11,3,0,62.4,99.0
18,2025-03-01,1,12,6,0,228.64,1817.06
87,2025-03-01,1,36,17,0,636.23,1278.22
70,2025-03-01,1,22,11,0,316.81,2006.1
88,2025-03-01,1,28,15,1,522.14,2013.78
80,2025-03-01,1,12,4,0,192.66,274.0
24,2025-03-01,1,15,2,0,99.1,4158.0
86,2025-03-01,1,20,7,0,293.23,89.0
100,2025-03-01,1,14,7,0,173.29,355.0
176,2025-03-01,0,0,0,0,0.0,0.0
110,2025-03-01,1,16,7,0,279.4,517.0
30,2025-03-01,1,12,5,0,66.64,79.0
112,2025-03-01,1,22,8,1,559.47,249.0
165,2025-03-01,1,10,2,0,174.52,2270.0
118,2025-03-01,1,9,4,0,142.75,43.0
48,2025-03-01,1,5,5,0,82.9,0.0
156,2025-03-01,1,21,3,1,85.41,568.0
127,2025-03-01,1,11,7,0,221.0,0.0
153,2025-03-01,1,15,6,0,337.44,626.0
93,2025-03-01,1,17,5,0,93.27,0.0
92,2025-03-01,1,14,5,0,129.03,59.0
14,2025-03-01,1,4,2,0,59.26,0.0
81,2025-03-01,1,25,11,8,258.06,283.0
144,2025-03-01,1,11,2,2,72.66,255.0
193,2025-03-01,1,10,1,0,21.82,171.0
33,2025-03-01,1,1,1,0,26.63,0.0
200,2025-03-01,1,19,5,3,143.25,97.0
147,2025-03-01,1,12,2,0,82.9,4557.0
168,2025-03-01,1,23,5,0,324.96,887.0
162,2025-03-01,1,13,4,0,337.89,632.0
78,2025-03-01,1,4,4,0,77.7,0.0
171,2025-03-01,1,10,2,1,62.31,85.0
157,2025-03-01,1,11,1,0,24.84,110.0
202,2025-03-01,1,18,6,8,134.4,135.0
89,2025-03-01,1,14,4,0,107.75,1145.0
154,2025-03-01,1,6,1,0,20.72,446.0
164,2025-03-01,0,0,0,0,0.0,0.0
203,2025-03-01,1,7,3,0,80.47,171.0
138,2025-03-01,1,4,0,0,0.0,0.0
10,2025-03-01,1,24,4,0,105.97,940.0
55,2025-03-01,1,11,6,0,174.62,240.0
29,2025-03-01,1,21,8,0,410.71,483.0
17,2025-03-01,1,7,1,0,62.45,0.0
141,2025-03-01,1,23,5,5,164.18,197.0
174,2025-03-01,1,9,5,0,216.99,332.0
136,2025-03-01,1,8,4,1,196.5,250.0
131,2025-03-01,1,13,5,1,180.71,278.0
4,2025-03-01,1,14,4,0,485.27,200.0
191,2025-03-01,0,0,0,0,0.0,0.0
73,2025-03-01,1,6,3,0,184.66,134.0
150,2025-03-01,1,8,0,0,0.0,3198.0
54,2025-03-01,1,9,5,2,118.58,0.0
177,2025-03-01,1,12,6,0,128.27,242.0
145,2025-03-01,1,35,19,0,678.76,958.0
181,2025-03-01,1,2,0,0,0.0,0.0
184,2025-03-01,1,15,7,1,167.47,178.0
187,2025-03-01,1,7,3,7,88.91,95.0
82,2025-03-01,1,5,3,5,64.65,71.0
116,2025-03-01,1,2,2,0,78.2,0.0
91,2025-03-01,1,4,0,0,0.0,0.0
151,2025-03-01,1,10,4,0,140.52,152.0
167,2025-03-01,1,12,6,0,185.91,212.0
148,2025-03-01,1,8,1,0,43.11,259.0
130,2025-03-01,1,6,0,2,0.0,23.0
175,2025-03-01,1,12,4,0,184.72,783.0
192,2025-03-01,1,8,1,0,178.69,4154.0
170,2025-03-01,1,12,2,3,39.34,109.0
159,2025-03-01,1,11,9,1,204.92,236.0
173,2025-03-01,1,5,3,0,61.15,93.0
143,2025-03-01,1,7,2,1,68.27,193.0
140,2025-03-01,1,6,0,0,0.0,133.0
139,2025-03-01,1,2,0,0,0.0,399.0
201,2025-03-01,1,5,0,0,0.0,3824.0
182,2025-03-01,1,4,0,0,0.0,0.0
135,2025-03-01,1,2,0,0,0.0,303.0
198,2025-03-01,1,2,0,0,0.0,135.0
155,2025-03-01,1,3,1,0,4.72,129.0
196,2025-03-01,0,0,0,0,0.0,0.0
186,2025-03-01,1,2,0,0,0.0,0.0
122,2025-03-01,1,2,0,0,0.0,0.0
142,2025-03-01,1,2,0,0,0.0,374.0
185,2025-03-01,0,0,0,0,0.0,0.0
190,2025-03-01,0,0,0,0,0.0,0.0
169,2025-03-01,1,2,0,0,0.0,97.0
188,2025-03-01,1,2,0,0,0.0,200.0
161,2025-03-01,1,5,3,0,111.97,118.0
189,2025-03-01,0,0,0,0,0.0,0.0
180,2025-03-01,0,0,0,0,0.0,0.0
199,2025-03-01,0,0,0,0,0.0,0.0
197,2025-03-01,1,2,0,0,0.0,22.0
194,2025-03-01,0,0,0,0,0.0,0.0
107,2025-04-01,1,32,18,2,522.01,1438.18
8,2025-04-01,1,37,10,0,359.09,2349.23
68,2025-04-01,1,34,19,0,1452.14,1715.64
87,2025-04-01,1,46,30,0,1238.12,1653.0
102,2025-04-01,1,22,15,0,682.73,2264.11
111,2025-04-01,1,27,14,0,385.41,1728.44
126,2025-04-01,1,25,13,0,488.25,1921.5
11,2025-04-01,1,30,13,0,405.61,2101.63
47,2025-04-01,1,23,12,3,319.15,1348.77
58,2025-04-01,1,34,15,0,530.18,2646.37
155,2025-04-01,1,32,21,1,838.89,2275.06
90,2025-04-01,1,19,12,1,827.25,128.0
61,2025-04-01,1,13,2,0,92.72,279.0
75,2025-04-01,1,25,16,0,657.75,2343.61
12,2025-04-01,1,39,23,0,1127.52,2283.34
31,2025-04-01,1,32,14,0,642.43,2705.78
42,2025-04-01,1,27,18,0,722.01,3447.51
76,2025-04-01,1,33,22,0,776.29,2441.35
190,2025-04-01,1,19,8,0,334.3,908.0
173,2025-04-01,1,22,4,2,442.59,192.0
15,2025-04-01,1,39,20,0,785.19,2416.86
18,2025-04-01,1,33,12,6,350.13,1712.19
40,2025-04-01,1,26,19,0,917.43,4307.02
160,2025-04-01,1,30,17,0,603.0,2801.27
158,2025-04-01,1,18,7,2,361.43,2003.96
117,2025-04-01,1,28,19,0,589.47,2089.2
105,2025-04-01,1,18,13,0,473.09,1895.57
98,2025-04-01,1,42,21,0,718.62,3006.3
86,2025-04-01,1,17,5,0,220.21,674.0
255,2025-04-01,1,18,3,0,95.69,757.0
108,2025-04-01,1,18,11,0,416.55,1903.35
78,2025-04-01,1,14,7,0,232.38,89.0
168,2025-04-01,1,17,7,1,202.05,0.0
110,2025-04-01,1,29,7,0,134.02,601.0
55,2025-04-01,1,19,8,0,562.4,153.0
38,2025-04-01,1,24,15,0,675.11,2088.9
249,2025-04-01,1,28,4,0,86.26,819.0
156,2025-04-01,1,21,12,2,415.82,301.0
6,2025-04-01,1,30,19,1,1397.83,2266.09
104,2025-04-01,1,36,20,0,832.28,2517.05
118,2025-04-01,1,9,5,4,134.2,0.0
144,2025-04-01,1,10,5,0,167.9,84.0
175,2025-04-01,1,32,18,0,891.38,2650.9
88,2025-04-01,1,34,18,0,648.2,2002.82
63,2025-04-01,1,36,18,0,705.21,2365.69
170,2025-04-01,1,33,11,1,385.74,1998.24
92,2025-04-01,1,16,3,3,51.39,35.0
161,2025-04-01,1,28,12,0,347.18,2589.82
43,2025-04-01,1,8,1,4,50.13,439.0
93,2025-04-01,1,12,6,0,183.54,0.0
146,2025-04-01,1,13,2,2,25.19,29.0
131,2025-04-01,1,12,1,2,28.86,69.0
200,2025-04-01,1,20,11,2,303.14,2010.36
71,2025-04-01,1,24,13,0,406.04,2172.27
30,2025-04-01,1,15,5,0,178.36,540.0
79,2025-04-01,1,34,17,0,708.81,1639.92
34,2025-04-01,1,39,14,0,621.33,1142.68
159,2025-04-01,1,31,18,0,677.2,1843.22
24,2025-04-01,1,17,3,0,165.5,2126.0
193,2025-04-01,1,10,3,0,90.17,262.0
62,2025-04-01,1,40,25,0,1264.22,2149.1
178,2025-04-01,1,26,11,2,429.36,2609.9
23,2025-04-01,1,10,4,0,169.87,0.0
217,2025-04-01,1,30,12,4,344.48,611.0
212,2025-04-01,1,16,5,9,148.81,154.0
97,2025-04-01,1,13,5,1,570.19,1928.0
13,2025-04-01,1,33,20,0,473.26,2285.9
136,2025-04-01,1,33,15,0,675.07,2019.75
167,2025-04-01,1,31,18,0,1139.02,2275.78
179,2025-04-01,1,33,18,0,581.38,2145.44
67,2025-04-01,1,29,24,0,726.78,2230.12
141,2025-04-01,1,23,10,0,259.67,1367.21
188,2025-04-01,1,29,16,0,565.05,1818.42
66,2025-04-01,1,32,17,0,585.79,1571.64
81,2025-04-01,1,24,15,0,431.24,2194.28
73,2025-04-01,1,15,3,0,133.78,625.0
124,2025-04-01,1,30,17,0,1051.46,2901.4
121,2025-04-01,1,16,8,0,206.58,0.0
187,2025-04-01,1,35,15,1,659.21,3174.47
123,2025-04-01,1,32,19,0,919.65,3003.71
184,2025-04-01,1,24,12,0,626.73,2298.36
252,2025-04-01,1,11,0,0,0.0,788.0
143,2025-04-01,1,23,7,0,319.6,2125.48
44,2025-04-01,1,12,8,3,195.35,0.0
29,2025-04-01,1,16,8,0,182.42,0.0
153,2025-04-01,1,12,8,4,212.41,0.0
116,2025-04-01,1,10,1,0,28.36,1027.0
9,2025-04-01,1,22,9,0,303.31,1421.98
226,2025-04-01,1,4,0,0,0.0,0.0
154,2025-04-01,1,8,5,0,134.03,0.0
127,2025-04-01,1,9,4,2,132.26,389.0
80,2025-04-01,1,17,6,0,151.93,448.0
134,2025-04-01,1,12,5,0,148.95,1296.0
83,2025-04-01,1,29,22,0,904.81,2895.14
84,2025-04-01,1,17,8,0,315.63,0.0
140,2025-04-01,1,10,2,1,47.55,0.0
132,2025-04-01,1,36,16,0,542.43,2086.93
152,2025-04-01,1,32,15,1,925.48,3648.77
120,2025-04-01,1,36,16,1,688.86,1241.4
54,2025-04-01,1,15,5,3,150.73,163.0
21,2025-04-01,1,22,15,0,406.66,2010.0
22,2025-04-01,1,29,20,0,875.87,2490.27
202,2025-04-01,1,28,13,3,533.83,2386.24
203,2025-04-01,1,14,3,1,84.11,224.0
50,2025-04-01,1,11,3,0,57.33,0.0
165,2025-04-01,1,12,4,0,124.49,0.0
28,2025-04-01,1,28,17,0,748.09,2247.85
32,2025-04-01,1,35,19,0,1130.24,2862.82
94,2025-04-01,1,39,21,0,732.67,2370.62
70,2025-04-01,1,39,17,2,761.78,2086.61
139,2025-04-01,1,16,3,0,185.41,1417.0
196,2025-04-01,1,12,2,0,112.64,850.0
82,2025-04-01,1,29,8,7,219.26,1642.31
145,2025-04-01,1,26,9,0,236.06,2108.34
130,2025-04-01,1,14,2,3,26.23,397.0
162,2025-04-01,1,16,7,1,259.98,260.0
112,2025-04-01,1,16,8,0,269.14,306.0
60,2025-04-01,1,16,3,0,26.43,639.0
36,2025-04-01,1,7,4,0,72.27,388.0
113,2025-04-01,1,17,3,2,142.65,373.0
100,2025-04-01,1,11,5,0,131.96,0.0
89,2025-04-01,1,11,5,0,145.1,0.0
48,2025-04-01,1,9,7,0,271.38,0.0
157,2025-04-01,1,18,5,0,177.51,2733.0
150,2025-04-01,1,9,2,0,114.96,818.0
45,2025-04-01,1,29,18,0,583.41,1631.56
151,2025-04-01,1,36,14,0,449.66,2029.13
174,2025-04-01,1,31,16,0,912.98,2633.42
72,2025-04-01,1,17,8,1,277.89,237.0
262,2025-04-01,1,25,10,5,385.04,528.0
103,2025-04-01,1,6,6,2,259.21,0.0
147,2025-04-01,1,12,3,0,172.91,3050.0
148,2025-04-01,1,8,5,0,124.49,252.0
56,2025-04-01,1,21,5,0,329.54,14163.0
198,2025-04-01,1,6,2,0,43.13,0.0
171,2025-04-01,1,7,3,3,43.17,0.0
1,2025-04-01,1,16,4,0,140.26,0.0
177,2025-04-01,1,12,3,1,60.93,225.0
85,2025-04-01,1,8,5,0,199.4,87.0
201,2025-04-01,1,7,5,0,246.69,0.0
17,2025-04-01,1,12,2,0,43.28,1501.0
263,2025-04-01,1,24,8,4,180.81,659.0
19,2025-04-01,1,9,6,0,199.94,262.0
199,2025-04-01,1,14,5,1,161.33,743.0
189,2025-04-01,1,18,3,11,53.89,117.0
137,2025-04-01,1,16,5,0,119.66,54.0
169,2025-04-01,1,18,3,0,201.74,680.0
230,2025-04-01,1,16,9,1,419.71,581.0
95,2025-04-01,1,9,1,0,15.98,2311.0
172,2025-04-01,1,3,3,0,78.11,0.0
109,2025-04-01,1,3,1,0,54.46,0.0
37,2025-04-01,1,15,5,0,165.53,240.0
125,2025-04-01,1,15,8,0,248.35,319.0
213,2025-04-01,1,8,2,2,99.79,204.0
195,2025-04-01,1,8,2,0,120.37,0.0
10,2025-04-01,1,12,2,0,98.91,0.0
215,2025-04-01,1,14,4,0,88.04,240.0
234,2025-04-01,1,5,3,1,71.6,73.0
197,2025-04-01,1,3,1,3,7.03,0.0
186,2025-04-01,1,2,0,0,0.0,0.0
192,2025-04-01,1,9,4,0,122.23,2476.0
218,2025-04-01,1,10,3,7,66.57,427.0
166,2025-04-01,1,11,3,0,87.47,208.0
233,2025-04-01,1,4,2,0,51.97,91.0
4,2025-04-01,1,11,1,0,16.65,508.0
142,2025-04-01,1,10,6,1,157.97,0.0
271,2025-04-01,1,22,7,11,232.64,289.0
39,2025-04-01,1,3,1,0,19.3,0.0
270,2025-04-01,1,2,0,0,0.0,0.0
245,2025-04-01,1,14,2,0,74.89,436.0
216,2025-04-01,1,5,1,3,89.63,94.0
261,2025-04-01,1,13,5,0,126.13,519.0
220,2025-04-01,1,17,3,0,120.0,591.0
208,2025-04-01,0,0,0,0,0.0,0.0
129,2025-04-01,1,15,5,1,216.37,247.0
207,2025-04-01,1,4,0,0,0.0,0.0
180,2025-04-01,1,9,2,6,115.85,207.0
241,2025-04-01,1,7,3,7,81.53,98.0
246,2025-04-01,1,6,4,0,192.29,661.0
276,2025-04-01,1,17,11,4,460.38,110.0
229,2025-04-01,0,0,0,0,0.0,0.0
135,2025-04-01,1,18,5,1,103.59,608.0
194,2025-04-01,1,11,4,9,188.39,131.0
99,2025-04-01,1,10,0,0,0.0,2282.0
236,2025-04-01,1,7,3,1,98.38,197.0
214,2025-04-01,1,10,1,0,11.83,5913.0
223,2025-04-01,1,7,1,0,32.94,180.0
14,2025-04-01,1,16,6,0,348.25,0.0
254,2025-04-01,0,0,0,0,0.0,0.0
205,2025-04-01,1,13,1,0,34.79,802.0
181,2025-04-01,1,2,0,0,0.0,0.0
204,2025-04-01,0,0,0,0,0.0,0.0
65,2025-04-01,1,7,3,0,49.91,0.0
265,2025-04-01,1,12,6,1,134.55,187.0
227,2025-04-01,1,11,7,2,195.51,258.0
