Mois ouverture,Cohorte,Code canal,Mois depuis ouverture,Comptes actifs,Taille cohorte
2025-05-01,2025-05,WEB,4,24,28
2025-03-01,2025-03,WEB,6,16,21
2025-05-01,2025-05,MOBILE,4,48,53
2025-08-01,2025-08,MOBILE,1,51,54
2025-06-01,2025-06,MOBILE,3,39,47
2025-02-01,2025-02,PARTNER,7,5,8
2025-01-01,2025-01,PARTNER,8,2,7
2025-07-01,2025-07,PARTNER,2,4,6
2025-04-01,2025-04,WEB,5,14,21
2025-05-01,2025-05,PARTNER,4,4,7
2025-02-01,2025-02,MOBILE,7,26,33
2025-03-01,2025-03,PARTNER,6,6,11
2025-08-01,2025-08,PARTNER,1,6,6
2025-06-01,2025-06,PARTNER,3,3,5
2025-04-01,2025-04,PARTNER,5,5,9
2025-09-01,2025-09,MOBILE,0,78,98
2025-09-01,2025-09,WEB,0,54,67
2025-09-01,2025-09,PARTNER,0,15,18
2025-09-01,2025-09,MOBILE,1,94,98
2025-05-01,2025-05,WEB,5,23,28
2025-02-01,2025-02,MOBILE,8,26,33
2025-04-01,2025-04,WEB,6,14,21
2025-03-01,2025-03,MOBILE,7,24,35
2025-08-01,2025-08,MOBILE,2,49,54
2025-06-01,2025-06,MOBILE,4,39,47
2025-07-01,2025-07,WEB,3,26,30
2025-08-01,2025-08,PARTNER,2,6,6
2025-01-01,2025-01,MOBILE,9,30,42
2025-08-01,2025-08,WEB,2,20,24
2025-03-01,2025-03,WEB,7,16,21
2025-07-01,2025-07,MOBILE,3,41,56
2025-04-01,2025-04,MOBILE,6,36,44
2025-02-01,2025-02,WEB,8,9,14
2025-09-01,2025-09,WEB,1,63,67
2025-05-01,2025-05,MOBILE,5,45,53
2025-09-01,2025-09,PARTNER,1,17,18
2025-03-01,2025-03,PARTNER,7,6,11
2025-04-01,2025-04,PARTNER,6,4,9
2025-05-01,2025-05,PARTNER,5,4,7
2025-06-01,2025-06,WEB,4,17,22
2025-07-01,2025-07,PARTNER,3,4,6
2025-06-01,2025-06,PARTNER,4,3,5
2025-01-01,2025-01,WEB,9,15,20
2025-10-01,2025-10,MOBILE,0,77,88
2025-01-01,2025-01,PARTNER,9,2,7
2025-02-01,2025-02,PARTNER,8,5,8
2025-10-01,2025-10,WEB,0,31,38
2025-10-01,2025-10,PARTNER,0,11,14
2025-10-01,2025-10,MOBILE,1,79,88
2025-07-01,2025-07,WEB,4,27,30
2025-09-01,2025-09,MOBILE,2,89,98
2025-08-01,2025-08,MOBILE,3,47,54
2025-02-01,2025-02,MOBILE,9,26,33
2025-08-01,2025-08,WEB,3,20,24
2025-03-01,2025-03,MOBILE,8,23,35
2025-09-01,2025-09,WEB,2,62,67
2025-06-01,2025-06,WEB,5,17,22
2025-01-01,2025-01,MOBILE,10,30,42
2025-05-01,2025-05,WEB,6,25,28
2025-10-01,2025-10,WEB,1,33,38
2025-04-01,2025-04,MOBILE,7,34,44
2025-06-01,2025-06,MOBILE,5,38,47
2025-05-01,2025-05,PARTNER,6,4,7
2025-05-01,2025-05,MOBILE,6,43,53
2025-07-01,2025-07,MOBILE,4,38,56
2025-02-01,2025-02,WEB,9,7,14
2025-04-01,2025-04,PARTNER,7,4,9
2025-03-01,2025-03,WEB,8,14,21
2025-01-01,2025-01,WEB,10,13,20
2025-04-01,2025-04,WEB,7,14,21
2025-02-01,2025-02,PARTNER,9,4,8
2025-08-01,2025-08,PARTNER,3,6,6
2025-01-01,2025-01,PARTNER,10,2,7
2025-06-01,2025-06,PARTNER,5,3,5
2025-10-01,2025-10,PARTNER,1,13,14
2025-03-01,2025-03,PARTNER,8,6,11
2025-09-01,2025-09,PARTNER,2,14,18
2025-11-01,2025-11,MOBILE,0,49,54
2025-07-01,2025-07,PARTNER,4,4,6
2025-11-01,2025-11,WEB,0,32,36
2025-11-01,2025-11,PARTNER,0,4,8
2025-11-01,2025-11,WEB,1,34,36
2025-09-01,2025-09,MOBILE,3,88,98
2025-08-01,2025-08,MOBILE,4,46,54
2025-05-01,2025-05,MOBILE,7,40,53
2025-09-01,2025-09,WEB,3,61,67
2025-11-01,2025-11,MOBILE,1,52,54
2025-03-01,2025-03,WEB,9,14,21
2025-07-01,2025-07,PARTNER,5,4,6
2025-06-01,2025-06,MOBILE,6,36,47
2025-01-01,2025-01,PARTNER,11,2,7
2025-04-01,2025-04,MOBILE,8,35,44
2025-01-01,2025-01,MOBILE,11,30,42
2025-08-01,2025-08,WEB,4,18,24
2025-10-01,2025-10,WEB,2,31,38
2025-10-01,2025-10,MOBILE,2,75,88
2025-06-01,2025-06,WEB,6,15,22
2025-07-01,2025-07,MOBILE,5,39,56
2025-09-01,2025-09,PARTNER,3,14,18
2025-02-01,2025-02,MOBILE,10,25,33
2025-01-01,2025-01,WEB,11,13,20
2025-10-01,2025-10,PARTNER,2,8,14
2025-07-01,2025-07,WEB,5,25,30
2025-05-01,2025-05,WEB,7,23,28
2025-08-01,2025-08,PARTNER,4,6,6
2025-04-01,2025-04,WEB,8,14,21
2025-02-01,2025-02,WEB,10,7,14
2025-03-01,2025-03,MOBILE,9,21,35
2025-05-01,2025-05,PARTNER,7,4,7
2025-04-01,2025-04,PARTNER,8,4,9
2025-02-01,2025-02,PARTNER,10,4,8
2025-03-01,2025-03,PARTNER,9,6,11
2025-06-01,2025-06,PARTNER,6,3,5
2025-11-01,2025-11,PARTNER,1,6,8
2025-12-01,2025-12,MOBILE,0,37,50
2025-12-01,2025-12,WEB,0,33,39
2025-12-01,2025-12,PARTNER,0,6,12
2025-06-01,2025-06,MOBILE,7,35,47
2025-02-01,2025-02,MOBILE,11,24,33
2025-04-01,2025-04,MOBILE,9,32,44
2025-09-01,2025-09,WEB,4,59,67
2025-10-01,2025-10,MOBILE,3,75,88
2025-12-01,2025-12,WEB,1,33,39
2025-02-01,2025-02,WEB,11,7,14
2025-09-01,2025-09,PARTNER,4,13,18
2025-11-01,2025-11,MOBILE,2,50,54
2025-08-01,2025-08,WEB,5,18,24
2025-07-01,2025-07,MOBILE,6,38,56
2025-03-01,2025-03,MOBILE,10,22,35
2025-09-01,2025-09,MOBILE,4,86,98
2025-11-01,2025-11,WEB,2,33,36
2025-05-01,2025-05,MOBILE,8,39,53
2025-06-01,2025-06,PARTNER,7,3,5
2025-03-01,2025-03,WEB,10,14,21
2025-08-01,2025-08,PARTNER,5,6,6
2025-08-01,2025-08,MOBILE,5,40,54
2025-01-01,2025-01,WEB,12,13,20
2025-01-01,2025-01,MOBILE,12,30,42
2025-05-01,2025-05,WEB,8,23,28
2025-12-01,2025-12,MOBILE,1,41,50
2026-01-01,2026-01,WEB,0,50,55
2025-07-01,2025-07,WEB,6,25,30
2025-04-01,2025-04,WEB,9,14,21
2025-06-01,2025-06,WEB,7,15,22
2025-07-01,2025-07,PARTNER,6,4,6
2025-10-01,2025-10,WEB,3,30,38
2025-10-01,2025-10,PARTNER,3,7,14
2025-12-01,2025-12,PARTNER,1,11,12
2025-04-01,2025-04,PARTNER,9,4,9
2025-11-01,2025-11,PARTNER,2,5,8
2025-03-01,2025-03,PARTNER,10,6,11
2025-05-01,2025-05,PARTNER,8,4,7
2025-02-01,2025-02,PARTNER,11,3,8
2026-01-01,2026-01,MOBILE,0,70,77
2025-01-01,2025-01,PARTNER,12,2,7
2026-01-01,2026-01,PARTNER,0,9,21
2026-01-01,2026-01,PARTNER,1,15,21
2025-09-01,2025-09,MOBILE,5,84,98
2025-03-01,2025-03,PARTNER,11,6,11
2026-01-01,2026-01,WEB,1,52,55
2026-02-01,2026-02,WEB,0,20,26
2025-07-01,2025-07,MOBILE,7,32,56
2025-06-01,2025-06,MOBILE,8,34,47
2025-05-01,2025-05,WEB,9,21,28
2025-08-01,2025-08,MOBILE,6,40,54
2025-02-01,2025-02,MOBILE,12,23,33
2025-03-01,2025-03,MOBILE,11,21,35
2025-07-01,2025-07,WEB,7,23,30
2025-10-01,2025-10,MOBILE,4,72,88
2025-02-01,2025-02,WEB,12,5,14
2025-04-01,2025-04,MOBILE,10,31,44
2026-01-01,2026-01,MOBILE,1,72,77
2025-01-01,2025-01,MOBILE,13,30,42
2025-06-01,2025-06,WEB,8,15,22
2025-09-01,2025-09,WEB,5,57,67
2025-05-01,2025-05,MOBILE,9,38,53
2025-10-01,2025-10,WEB,4,30,38
2025-11-01,2025-11,MOBILE,3,49,54
2025-11-01,2025-11,WEB,3,32,36
2025-03-01,2025-03,WEB,11,14,21
2025-08-01,2025-08,WEB,6,16,24
2025-01-01,2025-01,WEB,13,13,20
2025-08-01,2025-08,PARTNER,6,6,6
2025-10-01,2025-10,PARTNER,4,7,14
2025-04-01,2025-04,WEB,10,14,21
2025-05-01,2025-05,PARTNER,9,2,7
2025-12-01,2025-12,PARTNER,2,11,12
2025-09-01,2025-09,PARTNER,5,11,18
2025-12-01,2025-12,MOBILE,2,38,50
2025-12-01,2025-12,WEB,2,32,39
2026-02-01,2026-02,PARTNER,0,11,14
2025-11-01,2025-11,PARTNER,3,5,8
2025-04-01,2025-04,PARTNER,10,4,9
2026-02-01,2026-02,MOBILE,0,63,71
2025-01-01,2025-01,PARTNER,13,2,7
2025-02-01,2025-02,PARTNER,12,3,8
2025-07-01,2025-07,PARTNER,7,4,6
2025-06-01,2025-06,PARTNER,8,3,5
2025-08-01,2025-08,WEB,7,16,24
2025-10-01,2025-10,MOBILE,5,68,88
2025-11-01,2025-11,MOBILE,4,49,54
2025-02-01,2025-02,MOBILE,13,21,33
2026-01-01,2026-01,MOBILE,2,68,77
2025-09-01,2025-09,MOBILE,6,77,98
2025-05-01,2025-05,WEB,10,22,28
2025-09-01,2025-09,WEB,6,56,67
2025-07-01,2025-07,MOBILE,8,32,56
2025-12-01,2025-12,MOBILE,3,36,50
2025-06-01,2025-06,MOBILE,9,31,47
2025-01-01,2025-01,MOBILE,14,29,42
2026-02-01,2026-02,MOBILE,1,65,71
2026-02-01,2026-02,PARTNER,1,12,14
2025-03-01,2025-03,MOBILE,12,21,35
2025-07-01,2025-07,WEB,8,24,30
2025-08-01,2025-08,PARTNER,7,6,6
2025-04-01,2025-04,WEB,11,14,21
2025-11-01,2025-11,WEB,4,32,36
2026-02-01,2026-02,WEB,1,24,26
2025-09-01,2025-09,PARTNER,6,12,18
2025-12-01,2025-12,WEB,3,31,39
2026-01-01,2026-01,WEB,2,49,55
2025-10-01,2025-10,PARTNER,5,5,14
2025-05-01,2025-05,MOBILE,10,39,53
2025-12-01,2025-12,PARTNER,3,11,12
2025-04-01,2025-04,MOBILE,11,30,44
2025-06-01,2025-06,WEB,9,15,22
2025-08-01,2025-08,MOBILE,7,37,54
2025-10-01,2025-10,WEB,5,29,38
2025-02-01,2025-02,WEB,13,6,14
2025-01-01,2025-01,WEB,14,13,20
2025-02-01,2025-02,PARTNER,13,3,8
2025-03-01,2025-03,WEB,12,13,21
2025-07-01,2025-07,PARTNER,8,4,6
2025-06-01,2025-06,PARTNER,9,3,5
2025-04-01,2025-04,PARTNER,11,4,9
2026-01-01,2026-01,PARTNER,2,15,21
2025-05-01,2025-05,PARTNER,10,2,7
2025-11-01,2025-11,PARTNER,4,5,8
2025-03-01,2025-03,PARTNER,12,5,11
2026-03-01,2026-03,MOBILE,0,55,61
2025-01-01,2025-01,PARTNER,14,2,7
2026-03-01,2026-03,WEB,0,29,36
2026-03-01,2026-03,PARTNER,0,8,14
2026-02-01,2026-02,MOBILE,2,62,71
2025-09-01,2025-09,WEB,7,54,67
2026-01-01,2026-01,MOBILE,3,67,77
2025-10-01,2025-10,WEB,6,29,38
2025-07-01,2025-07,MOBILE,9,32,56
2025-11-01,2025-11,MOBILE,5,48,54
2025-05-01,2025-05,MOBILE,11,35,53
2025-04-01,2025-04,MOBILE,12,30,44
2026-03-01,2026-03,PARTNER,1,8,14
2025-12-01,2025-12,WEB,4,31,39
2025-05-01,2025-05,WEB,11,22,28
2026-03-01,2026-03,MOBILE,1,59,61
2025-10-01,2025-10,PARTNER,6,5,14
2025-09-01,2025-09,PARTNER,7,12,18
2025-08-01,2025-08,MOBILE,8,38,54
2025-09-01,2025-09,MOBILE,7,77,98
2025-06-01,2025-06,MOBILE,10,31,47
2025-11-01,2025-11,PARTNER,5,5,8
2025-01-01,2025-01,MOBILE,15,29,42
2025-10-01,2025-10,MOBILE,6,66,88
2026-01-01,2026-01,WEB,3,47,55
2026-03-01,2026-03,WEB,1,30,36
2025-11-01,2025-11,WEB,5,32,36
2025-12-01,2025-12,MOBILE,4,36,50
2025-07-01,2025-07,WEB,9,22,30
2025-03-01,2025-03,MOBILE,13,21,35
2025-02-01,2025-02,WEB,14,6,14
2026-02-01,2026-02,WEB,2,23,26
2025-08-01,2025-08,WEB,8,16,24
2026-01-01,2026-01,PARTNER,3,15,21
2025-02-01,2025-02,MOBILE,14,20,33
2025-08-01,2025-08,PARTNER,8,6,6
2025-03-01,2025-03,PARTNER,13,5,11
2025-06-01,2025-06,WEB,10,15,22
2025-07-01,2025-07,PARTNER,9,4,6
2025-04-01,2025-04,WEB,12,14,21
2025-04-01,2025-04,PARTNER,12,4,9
2025-01-01,2025-01,WEB,15,12,20
2026-02-01,2026-02,PARTNER,2,12,14
2025-05-01,2025-05,PARTNER,11,3,7
2025-03-01,2025-03,WEB,13,13,21
2025-01-01,2025-01,PARTNER,15,2,7
2025-12-01,2025-12,PARTNER,4,8,12
2025-02-01,2025-02,PARTNER,14,3,8
2026-04-01,2026-04,MOBILE,0,59,69
2025-06-01,2025-06,PARTNER,10,3,5
2026-04-01,2026-04,WEB,0,34,42
2026-04-01,2026-04,PARTNER,0,3,11
2025-05-01,2025-05,WEB,12,22,28
2025-02-01,2025-02,MOBILE,15,20,33
2025-07-01,2025-07,MOBILE,10,30,56
2025-10-01,2025-10,WEB,7,28,38
2026-04-01,2026-04,PARTNER,1,9,11
2026-01-01,2026-01,PARTNER,4,15,21
2025-12-01,2025-12,MOBILE,5,37,50
2026-04-01,2026-04,MOBILE,1,64,69
2025-05-01,2025-05,MOBILE,12,35,53
2026-01-01,2026-01,MOBILE,4,66,77
2025-09-01,2025-09,MOBILE,8,73,98
2025-11-01,2025-11,WEB,6,32,36
2025-08-01,2025-08,MOBILE,9,39,54
2026-03-01,2026-03,WEB,2,30,36
2025-07-01,2025-07,WEB,10,22,30
2025-04-01,2025-04,MOBILE,13,30,44
2025-09-01,2025-09,WEB,8,52,67
2026-04-01,2026-04,WEB,1,38,42
2025-10-01,2025-10,MOBILE,7,65,88
2025-08-01,2025-08,WEB,9,15,24
2025-04-01,2025-04,WEB,13,13,21
2025-08-01,2025-08,PARTNER,9,6,6
2025-06-01,2025-06,PARTNER,11,3,5
2026-03-01,2026-03,MOBILE,2,57,61
2025-06-01,2025-06,WEB,11,15,22
2025-03-01,2025-03,MOBILE,14,21,35
2025-04-01,2025-04,PARTNER,13,4,9
2026-02-01,2026-02,MOBILE,3,61,71
2025-03-01,2025-03,WEB,14,13,21
2026-01-01,2026-01,WEB,4,45,55
2025-02-01,2025-02,WEB,15,6,14
2025-03-01,2025-03,PARTNER,14,5,11
2026-02-01,2026-02,WEB,3,22,26
2025-06-01,2025-06,MOBILE,11,31,47
2025-10-01,2025-10,PARTNER,7,4,14
2025-11-01,2025-11,MOBILE,6,44,54
2026-02-01,2026-02,PARTNER,3,11,14
2025-01-01,2025-01,MOBILE,16,29,42
2025-01-01,2025-01,WEB,16,12,20
2025-01-01,2025-01,PARTNER,16,2,7
2025-11-01,2025-11,PARTNER,6,5,8
2025-12-01,2025-12,WEB,5,30,39
2025-07-01,2025-07,PARTNER,10,4,6
2025-09-01,2025-09,PARTNER,8,10,18
2025-02-01,2025-02,PARTNER,15,3,8
2026-05-01,2026-05,MOBILE,0,70,75
2026-05-01,2026-05,WEB,0,29,32
2025-05-01,2025-05,PARTNER,12,2,7
2026-03-01,2026-03,PARTNER,2,8,14
2025-12-01,2025-12,PARTNER,5,7,12
2026-05-01,2026-05,PARTNER,0,8,14
2026-01-01,2026-01,MOBILE,5,65,77
2026-02-01,2026-02,WEB,4,22,26
2026-05-01,2026-05,WEB,1,29,32
2026-05-01,2026-05,MOBILE,1,71,75
2026-04-01,2026-04,WEB,2,38,42
2025-09-01,2025-09,WEB,9,48,67
2025-07-01,2025-07,MOBILE,11,29,56
2025-05-01,2025-05,MOBILE,13,35,53
2025-04-01,2025-04,WEB,14,13,21
2025-12-01,2025-12,PARTNER,6,8,12
2026-03-01,2026-03,MOBILE,3,53,61
2025-11-01,2025-11,WEB,7,31,36
2025-11-01,2025-11,MOBILE,7,41,54
2025-06-01,2025-06,MOBILE,12,31,47
2025-02-01,2025-02,MOBILE,16,20,33
2025-06-01,2025-06,WEB,12,15,22
2025-08-01,2025-08,MOBILE,10,37,54
2025-10-01,2025-10,PARTNER,8,4,14
2026-02-01,2026-02,MOBILE,4,58,71
2026-02-01,2026-02,PARTNER,4,11,14
2025-10-01,2025-10,MOBILE,8,62,88
2025-07-01,2025-07,WEB,11,22,30
2025-05-01,2025-05,WEB,13,22,28
2025-09-01,2025-09,MOBILE,9,73,98
2026-01-01,2026-01,WEB,5,44,55
2025-04-01,2025-04,MOBILE,14,30,44
2025-01-01,2025-01,MOBILE,17,29,42
2026-03-01,2026-03,WEB,3,29,36
2025-12-01,2025-12,WEB,6,28,39
2025-03-01,2025-03,MOBILE,15,20,35
2026-04-01,2026-04,MOBILE,2,59,69
2025-12-01,2025-12,MOBILE,6,34,50
2025-03-01,2025-03,WEB,15,13,21
2025-09-01,2025-09,PARTNER,9,10,18
2025-10-01,2025-10,WEB,8,26,38
2025-08-01,2025-08,WEB,10,14,24
2025-02-01,2025-02,PARTNER,16,3,8
2025-03-01,2025-03,PARTNER,15,5,11
2026-03-01,2026-03,PARTNER,3,8,14
2025-11-01,2025-11,PARTNER,7,3,8
2025-07-01,2025-07,PARTNER,11,4,6
2025-01-01,2025-01,WEB,17,12,20
2026-01-01,2026-01,PARTNER,5,14,21
2025-05-01,2025-05,PARTNER,13,2,7
2026-05-01,2026-05,PARTNER,1,11,14
2026-04-01,2026-04,PARTNER,2,8,11
2025-04-01,2025-04,PARTNER,14,4,9
2025-08-01,2025-08,PARTNER,10,6,6
2026-06-01,2026-06,WEB,0,43,45
2026-06-01,2026-06,MOBILE,0,58,69
2025-02-01,2025-02,WEB,16,6,14
2025-06-01,2025-06,PARTNER,12,3,5
2026-06-01,2026-06,PARTNER,0,12,24
2025-01-01,2025-01,PARTNER,17,1,7
