Mois,Code canal,Type opération,Résultat,Motif échec,Type et motif,Tentatives,Montant demandé
2025-03-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,1,53.0
2025-03-01,PARTNER,Virement,Réussite,Aucun,Virement,7,702.0
2025-03-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,1,16.0
2025-03-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,1,199.0
2025-03-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,3,30.0
2025-03-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,2,20.0
2025-04-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,42,2935.11
2025-04-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,170,165493.73
2025-04-01,WEB,Dépôt,Réussite,Aucun,Dépôt,64,62815.21
2025-04-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,19,12658.61
2025-04-01,WEB,Connexion,Réussite,Aucun,Connexion,252,0.0
2025-04-01,MOBILE,Connexion,Réussite,Aucun,Connexion,641,0.0
2025-04-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,145,0.0
2025-04-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,402,0.0
2025-04-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,1110,42898.21
2025-04-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,114,9055.65
2025-04-01,WEB,Retrait,Réussite,Aucun,Retrait,49,27474.81
2025-04-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,467,19247.65
2025-04-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,44,0.0
2025-04-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,23,0.0
2025-04-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,21,0.0
2025-04-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,96,3490.68
2025-04-01,MOBILE,Virement,Réussite,Aucun,Virement,123,40543.0
2025-04-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,16,8944.0
2025-04-01,PARTNER,Connexion,Réussite,Aucun,Connexion,75,0.0
2025-04-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,45,0.0
2025-04-01,WEB,Virement,Réussite,Aucun,Virement,59,13291.0
2025-04-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,9,5109.0
2025-04-01,MOBILE,Retrait,Réussite,Aucun,Retrait,106,57080.0
2025-04-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,9,0.0
2025-04-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,9,0.0
2025-04-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,28,1309.4
2025-04-01,PARTNER,Retrait,Réussite,Aucun,Retrait,15,5041.0
2025-04-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,24,0.0
2025-04-01,PARTNER,Virement,Réussite,Aucun,Virement,15,2439.0
2025-04-01,WEB,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2025-04-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,7,0.0
2025-04-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,2,3511.0
2025-04-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,9,2277.0
2025-04-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,2,250.0
2025-04-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,3,30.0
2025-04-01,MOBILE,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2025-04-01,MOBILE,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,1,221.0
2025-04-01,WEB,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-04-01,PARTNER,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-04-01,UNKNOWN,Connexion,Échec,carte inconnue,Connexion : carte inconnue,1,0.0
2025-05-01,MOBILE,Connexion,Réussite,Aucun,Connexion,823,0.0
2025-05-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,198,177518.88
2025-05-01,WEB,Connexion,Réussite,Aucun,Connexion,379,0.0
2025-05-01,WEB,Dépôt,Réussite,Aucun,Dépôt,113,98615.93
2025-05-01,MOBILE,Virement,Réussite,Aucun,Virement,165,47045.0
2025-05-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,144,7468.15
2025-05-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,1344,51518.82
2025-05-01,MOBILE,Retrait,Réussite,Aucun,Retrait,153,90993.0
2025-05-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,500,0.0
2025-05-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,572,24731.91
2025-05-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,254,0.0
2025-05-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,12,390.64
2025-05-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,2,0.0
2025-05-01,PARTNER,Connexion,Réussite,Aucun,Connexion,94,0.0
2025-05-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,67,0.0
2025-05-01,WEB,Virement,Réussite,Aucun,Virement,65,30401.0
2025-05-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,160,6024.75
2025-05-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,50,4925.09
2025-05-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,28,0.0
2025-05-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,30,21182.73
2025-05-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,25,0.0
2025-05-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,53,0.0
2025-05-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,27,0.0
2025-05-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,2,3384.0
2025-05-01,WEB,Retrait,Réussite,Aucun,Retrait,56,32333.5
2025-05-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,21,26076.0
2025-05-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,7,1841.0
2025-05-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,1,10.0
2025-05-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,5,8366.0
2025-05-01,PARTNER,Virement,Réussite,Aucun,Virement,18,4262.0
2025-05-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,5,50.0
2025-05-01,PARTNER,Retrait,Réussite,Aucun,Retrait,8,5120.32
2025-05-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,5,3488.0
2025-05-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,11,0.0
2025-05-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,7,0.0
2025-05-01,PARTNER,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-05-01,WEB,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,1,435.0
2025-05-01,MOBILE,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2025-05-01,PARTNER,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,1,10.0
2025-05-01,MOBILE,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,1,27.0
2025-05-01,WEB,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-06-01,MOBILE,Connexion,Réussite,Aucun,Connexion,1056,0.0
2025-06-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,296,267922.93
2025-06-01,WEB,Connexion,Réussite,Aucun,Connexion,485,0.0
2025-06-01,WEB,Dépôt,Réussite,Aucun,Dépôt,145,147001.86
2025-06-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,37,29985.39
2025-06-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,16,2542.69
2025-06-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,324,0.0
2025-06-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,821,33285.85
2025-06-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,679,0.0
2025-06-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,193,7795.95
2025-06-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,139,8192.26
2025-06-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,1828,70463.27
2025-06-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,57,3585.72
2025-06-01,WEB,Virement,Réussite,Aucun,Virement,110,48921.0
2025-06-01,MOBILE,Retrait,Réussite,Aucun,Retrait,181,106052.12
2025-06-01,MOBILE,Virement,Réussite,Aucun,Virement,215,83666.0
2025-06-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,2,20.0
2025-06-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,38,0.0
2025-06-01,WEB,Retrait,Réussite,Aucun,Retrait,59,43852.79
2025-06-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,47,0.0
2025-06-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,21,20944.0
2025-06-01,PARTNER,Connexion,Réussite,Aucun,Connexion,142,0.0
2025-06-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,102,0.0
2025-06-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,47,0.0
2025-06-01,PARTNER,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,1,10.0
2025-06-01,PARTNER,Virement,Réussite,Aucun,Virement,22,12919.0
2025-06-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,5,0.0
2025-06-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,22,0.0
2025-06-01,PARTNER,Retrait,Réussite,Aucun,Retrait,18,9268.0
2025-06-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,8,0.0
2025-06-01,MOBILE,Virement,Échec,carte inconnue,Virement : carte inconnue,1,86.0
2025-06-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,9,12673.0
2025-06-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,2,4665.0
2025-06-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,11,0.0
2025-06-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,9,4928.0
2025-06-01,MOBILE,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,3,1845.0
2025-06-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,5,4180.0
2025-06-01,WEB,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-06-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,1,2226.0
2025-06-01,MOBILE,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-06-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,1,10.0
2025-06-01,MOBILE,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2025-07-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,56,0.0
2025-07-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,2253,108653.98
2025-07-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,325,290450.32
2025-07-01,WEB,Dépôt,Réussite,Aucun,Dépôt,152,171170.2
2025-07-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,36,30296.42
2025-07-01,MOBILE,Connexion,Réussite,Aucun,Connexion,1223,0.0
2025-07-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,789,0.0
2025-07-01,WEB,Connexion,Réussite,Aucun,Connexion,547,0.0
2025-07-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,345,0.0
2025-07-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,1089,54015.98
2025-07-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,34,0.0
2025-07-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,256,12413.14
2025-07-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,312,30052.21
2025-07-01,WEB,Retrait,Réussite,Aucun,Retrait,96,65462.0
2025-07-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,13,6823.0
2025-07-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,93,7825.74
2025-07-01,WEB,Virement,Réussite,Aucun,Virement,107,43872.0
2025-07-01,MOBILE,Virement,Réussite,Aucun,Virement,231,95126.0
2025-07-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,10,1491.75
2025-07-01,MOBILE,Virement,Échec,bénéficiaire clôturé,Virement : bénéficiaire clôturé,2,932.0
2025-07-01,PARTNER,Connexion,Réussite,Aucun,Connexion,136,0.0
2025-07-01,PARTNER,Retrait,Réussite,Aucun,Retrait,20,13265.0
2025-07-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,55,0.0
2025-07-01,MOBILE,Retrait,Réussite,Aucun,Retrait,212,130516.0
2025-07-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,28,0.0
2025-07-01,PARTNER,Virement,Réussite,Aucun,Virement,26,9539.0
2025-07-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,33,25787.0
2025-07-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,96,0.0
2025-07-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,30,0.0
2025-07-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,15,6997.0
2025-07-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,3,556.0
2025-07-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,6,0.0
2025-07-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,1,469.0
2025-07-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,6,60.0
2025-07-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,2,0.0
2025-07-01,MOBILE,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2025-07-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,3,30.0
2025-07-01,MOBILE,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-07-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,2,1041.0
2025-07-01,WEB,Virement,Échec,montant invalide,Virement : montant invalide,1,0.0
2025-07-01,MOBILE,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,1,62.0
2025-08-01,MOBILE,Connexion,Réussite,Aucun,Connexion,1363,0.0
2025-08-01,MOBILE,Virement,Réussite,Aucun,Virement,270,78165.0
2025-08-01,WEB,Paiement carte,Réussite,Aucun,Paiement carte,1229,59859.65
2025-08-01,WEB,Dépôt,Réussite,Aucun,Dépôt,172,195599.18
2025-08-01,MOBILE,Dépôt,Réussite,Aucun,Dépôt,358,337266.38
2025-08-01,PARTNER,Dépôt,Réussite,Aucun,Dépôt,41,42277.03
2025-08-01,MOBILE,Consultation du solde,Réussite,Aucun,Consultation du solde,880,0.0
2025-08-01,MOBILE,Retrait,Réussite,Aucun,Retrait,250,145314.63
2025-08-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,2613,130244.28
2025-08-01,MOBILE,Virement,Échec,solde insuffisant,Virement : solde insuffisant,28,12945.0
2025-08-01,PARTNER,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,15,2103.77
2025-08-01,MOBILE,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,292,23425.35
2025-08-01,PARTNER,Paiement carte,Réussite,Aucun,Paiement carte,278,13286.03
2025-08-01,WEB,Connexion,Réussite,Aucun,Connexion,712,0.0
2025-08-01,WEB,Virement,Réussite,Aucun,Virement,149,46186.0
2025-08-01,WEB,Paiement carte,Échec,solde insuffisant,Paiement carte : solde insuffisant,152,13250.51
2025-08-01,WEB,Retrait,Réussite,Aucun,Retrait,122,77937.25
2025-08-01,WEB,Consultation du solde,Réussite,Aucun,Consultation du solde,461,0.0
2025-08-01,PARTNER,Connexion,Réussite,Aucun,Connexion,157,0.0
2025-08-01,PARTNER,Retrait,Réussite,Aucun,Retrait,24,15730.87
2025-08-01,WEB,Virement,Échec,solde insuffisant,Virement : solde insuffisant,18,16146.0
2025-08-01,UNKNOWN,Connexion,Échec,numéro de carte invalide,Connexion : numéro de carte invalide,51,0.0
2025-08-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,24,0.0
2025-08-01,PARTNER,Consultation du solde,Réussite,Aucun,Consultation du solde,106,0.0
2025-08-01,MOBILE,Ouverture de compte,Réussite,Aucun,Ouverture de compte,54,0.0
2025-08-01,MOBILE,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,51,0.0
2025-08-01,WEB,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,8,4978.0
2025-08-01,WEB,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,23,0.0
2025-08-01,PARTNER,Virement,Réussite,Aucun,Virement,32,8360.0
2025-08-01,PARTNER,Ouverture de compte,Réussite,Aucun,Ouverture de compte,6,0.0
2025-08-01,MOBILE,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,3,30.0
2025-08-01,PARTNER,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,2,153.0
2025-08-01,MOBILE,Virement,Échec,virement vers soi-même,Virement : virement vers soi-même,3,1000.0
2025-08-01,WEB,Retrait,Échec,solde insuffisant,Retrait : solde insuffisant,3,30.0
2025-08-01,MOBILE,Virement,Échec,numéro de carte invalide,Virement : numéro de carte invalide,8,2403.0
2025-08-01,MOBILE,Dépôt,Échec,montant invalide,Dépôt : montant invalide,1,0.0
2025-08-01,PARTNER,Virement,Échec,solde insuffisant,Virement : solde insuffisant,3,2952.0
2025-08-01,PARTNER,Connexion,Échec,code PIN erroné,Connexion : code PIN erroné,7,0.0
2025-08-01,WEB,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-08-01,PARTNER,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-08-01,MOBILE,Clôture de compte,Réussite,Aucun,Clôture de compte,1,0.0
2025-08-01,MOBILE,Virement,Échec,carte inconnue,Virement : carte inconnue,1,10.0
2025-09-01,MOBILE,Paiement carte,Réussite,Aucun,Paiement carte,2936,120976.17
2025-09-01,WEB,Ouverture de compte,Réussite,Aucun,Ouverture de compte,67,0.0
