account_id,segment,R,F,M,recency_days,frequency_180d,card_spend_180d,balance_at_period_end
306,Épargnants peu actifs,1,1,1,209,0,0.0,20491.96
307,Champions,5,5,5,2,187,4149.34,1160.44
309,Épargnants peu actifs,5,2,3,7,48,993.09,24028.57
310,Champions,5,5,5,0,183,4793.24,1165.65
311,Champions,5,5,4,0,197,3158.71,261.87
312,Clients réguliers,5,3,3,0,74,943.52,3637.61
313,Clients réguliers,4,4,3,11,94,1124.76,1779.46
314,Clients réguliers,5,3,3,7,71,778.97,6887.46
315,Épargnants peu actifs,1,2,1,119,42,282.66,4367.8
316,Champions,5,5,5,0,205,4010.11,2696.01
317,Champions,5,5,5,0,215,5142.02,1681.07
318,Champions,5,5,5,1,205,3995.25,47.85
319,Clients réguliers,5,3,2,5,66,615.0,13227.32
321,Champions,5,5,5,0,208,4244.7,313.24
322,Champions,5,4,4,0,116,1505.92,684.19
323,Clients réguliers,5,3,3,2,71,794.66,1452.25
328,Épargnants peu actifs,5,2,2,0,54,531.61,18626.54
329,Épargnants peu actifs,5,2,2,0,53,492.16,23741.15
330,Champions,5,4,5,5,161,4211.66,18.33
331,Champions,5,5,5,4,185,3359.31,987.62
332,Champions,5,5,5,0,193,4388.95,190.35
333,Épargnants peu actifs,1,1,1,106,24,250.52,7367.56
334,Champions,5,5,5,0,180,3513.5,947.13
335,Champions,5,5,5,4,182,3779.75,979.26
336,Champions,5,4,5,1,163,3433.64,2445.28
339,Clients réguliers,4,3,2,8,63,379.96,24996.4
342,Champions,5,5,5,0,189,4587.69,2412.31
345,Champions,5,5,5,0,187,3606.11,239.98
346,Clients réguliers,4,3,4,13,63,1711.21,1191.12
349,Endormis,1,1,1,248,0,0.0,2586.98
350,Clients réguliers,5,3,4,6,61,1402.73,903.06
351,Champions,4,4,4,8,96,1551.04,1643.1
352,Champions,5,4,5,0,161,3418.83,2233.08
353,Endormis,1,1,1,234,0,0.0,757.35
354,Clients réguliers,5,3,3,2,74,1170.47,25846.02
355,Champions,5,5,5,2,197,3734.5,858.07
356,Champions,5,4,4,1,114,1424.0,5757.21
357,Champions,5,5,5,3,186,4431.76,3172.32
358,Clients réguliers,5,3,3,0,78,764.02,4062.54
359,Champions,5,5,4,0,180,3163.09,4828.99
360,Champions,5,4,4,5,88,1381.86,3064.22
361,Endormis,1,1,1,169,5,129.11,278.51
362,Champions,5,4,5,0,165,3888.68,2777.33
364,Champions,5,4,5,6,168,3367.98,198.47
365,Clients réguliers,5,3,2,1,64,567.59,1742.88
366,Clients réguliers,5,3,2,4,79,625.84,4905.12
367,Épargnants peu actifs,1,1,1,302,0,0.0,3037.67
368,Endormis,1,1,1,311,0,0.0,579.69
369,Épargnants peu actifs,5,2,2,5,50,415.93,14460.43
370,Clients réguliers,5,4,3,5,94,853.77,2031.41
372,Clients réguliers,4,3,2,22,68,666.56,15420.78
373,Clients réguliers,5,3,3,1,65,820.65,4309.35
374,Clients réguliers,5,4,3,3,85,1185.18,1491.49
375,Champions,5,5,4,1,180,2943.2,1002.73
376,Endormis,1,1,1,303,0,0.0,1459.72
377,Champions,5,5,5,0,184,5061.15,3320.32
378,Épargnants peu actifs,5,2,3,1,58,724.76,18679.11
379,Clients réguliers,5,3,3,0,62,851.53,192.02
380,Champions,5,5,4,4,179,3194.78,1520.59
384,Champions,5,5,4,0,183,3004.85,638.71
385,Épargnants peu actifs,5,2,2,1,52,667.76,10040.49
386,Champions,5,5,5,0,221,4713.68,1119.15
387,Clients réguliers,5,3,3,1,72,713.88,405.17
390,Clients réguliers,5,3,3,4,77,929.94,5945.07
391,Clients réguliers,5,3,4,2,67,1258.03,2825.61
392,Occasionnels,5,2,3,2,52,964.22,2453.26
393,Endormis,1,1,1,290,0,0.0,21.43
394,Clients réguliers,4,4,3,10,90,1112.97,2438.32
395,Clients réguliers,5,3,3,4,78,722.6,2103.61
397,Endormis,1,1,1,299,0,0.0,858.86
398,Champions,5,5,5,1,190,3808.48,98.56
402,Champions,5,5,5,1,210,5521.61,131.72
403,Champions,5,5,5,0,188,4338.26,1705.68
404,Clients réguliers,5,4,3,0,97,1157.16,2458.65
405,Épargnants peu actifs,4,2,2,10,33,445.2,6903.73
406,Champions,5,5,4,0,183,2932.13,1385.47
408,Champions,5,5,4,2,182,3289.17,343.26
409,Clients réguliers,5,3,3,1,71,986.88,29274.7
410,Clients réguliers,5,3,3,0,64,810.04,4276.17
411,Champions,5,4,5,2,164,3707.6,225.97
412,Clients réguliers,5,3,3,0,79,984.66,18314.76
413,Endormis,1,1,1,297,0,0.0,1337.41
414,Endormis,1,1,1,149,10,102.69,434.24
415,Champions,5,5,5,1,186,3481.59,2293.98
417,Champions,5,5,5,5,195,4578.12,958.66
418,Champions,5,5,5,0,175,4988.7,1050.5
419,Clients réguliers,5,3,3,0,65,815.97,6053.17
420,Champions,5,4,4,0,139,3237.02,862.84
421,Endormis,1,1,1,157,10,169.56,1011.68
422,Endormis,1,1,1,344,0,0.0,129.64
423,Champions,5,4,5,0,166,3410.23,406.37
424,Champions,5,5,5,0,179,4103.02,582.67
425,Champions,5,5,5,0,179,5155.43,141.81
426,Champions,5,4,4,5,88,1697.82,7899.72
427,Endormis,1,1,1,169,3,0.0,3.89
429,Champions,5,5,5,3,181,3419.73,225.48
430,Épargnants peu actifs,5,2,2,3,56,555.32,11565.04
431,Champions,5,5,4,0,177,2697.17,517.01
432,Clients réguliers,5,3,3,2,71,941.21,10285.87
433,Champions,5,4,4,0,147,3023.94,1945.41
434,Clients réguliers,5,3,3,4,59,864.43,5229.57
435,Clients réguliers,5,3,2,1,71,677.87,301.61
436,Endormis,1,1,1,299,0,0.0,2153.61
437,Clients réguliers,5,3,3,1,65,752.38,8844.98
438,Clients réguliers,5,3,1,2,67,196.27,305.46
439,Champions,5,4,5,0,166,4004.88,1312.39
440,Épargnants peu actifs,4,2,2,15,50,578.08,9967.57
441,Endormis,1,1,1,214,0,0.0,510.7
443,Clients réguliers,5,3,4,1,75,1251.97,6110.82
444,Champions,5,4,4,2,97,1618.01,2027.66
445,Endormis,1,1,1,167,5,0.0,5.77
446,Clients réguliers,5,3,3,1,76,977.93,1736.92
447,Clients réguliers,5,3,2,1,78,696.99,1827.84
449,Champions,5,4,4,1,97,1466.33,631.57
450,Endormis,1,2,3,104,46,1058.11,1858.78
451,Épargnants peu actifs,5,2,3,6,57,947.7,22452.5
454,Clients réguliers,5,3,3,1,81,1237.07,538.88
455,Occasionnels,4,2,2,23,43,410.19,1782.81
457,Champions,5,4,4,0,158,2564.96,211.71
458,Clients réguliers,5,3,2,6,63,584.47,22194.98
459,Champions,5,5,5,1,186,4695.77,1019.17
461,Épargnants peu actifs,5,2,2,6,54,393.62,6138.34
462,Épargnants peu actifs,1,1,1,172,3,72.96,5999.79
463,Champions,5,4,4,1,96,1347.48,1652.37
465,Clients réguliers,4,3,2,8,64,631.69,7715.15
466,Clients réguliers,5,3,3,0,78,1148.74,1281.71
467,Endormis,1,1,1,304,0,0.0,247.57
469,Champions,5,5,4,1,197,3192.44,801.9
470,Clients réguliers,5,4,3,4,101,1116.27,2229.88
472,Champions,5,5,5,1,213,4755.01,736.21
473,Endormis,1,3,3,110,80,1193.29,1394.23
474,Endormis,1,1,1,110,26,239.72,359.37
476,Champions,5,4,4,5,87,1262.28,745.1
477,Clients réguliers,5,3,3,2,70,925.89,12076.33
478,Champions,5,5,5,0,186,5399.12,632.55
481,Clients réguliers,5,3,3,1,79,1010.97,4417.66
482,Champions,5,5,5,0,197,4713.83,468.24
483,Épargnants peu actifs,4,2,2,11,53,535.89,12682.11
484,Champions,5,5,4,0,180,2553.9,775.26
486,Champions,5,5,5,0,189,4055.92,1934.19
487,Endormis,1,1,1,309,0,0.0,936.72
488,Champions,5,4,4,4,93,1582.49,2970.67
489,Champions,5,5,5,0,180,3740.69,4858.62
490,Champions,5,5,5,1,183,3687.24,2430.2
491,Champions,5,4,5,0,162,3636.29,1665.25
492,Endormis,1,1,1,238,0,0.0,3.71
495,Épargnants peu actifs,5,2,2,2,58,629.63,21898.58
496,Épargnants peu actifs,5,2,3,1,51,916.89,3079.1
498,Clients réguliers,5,4,3,1,93,904.11,3694.06
499,Épargnants peu actifs,5,2,1,3,38,263.17,8154.83
501,Endormis,1,1,1,178,1,30.1,2425.48
503,Champions,5,5,5,0,202,4680.38,411.29
504,Champions,5,5,4,1,190,3242.66,2997.0
506,Champions,5,4,4,3,167,3207.28,1214.79
507,Champions,5,5,5,1,189,3572.59,1564.83
508,Épargnants peu actifs,5,2,4,0,50,1300.45,5247.17
509,Champions,5,5,4,0,184,3060.94,38.25
510,Épargnants peu actifs,4,2,2,13,53,638.62,8680.93
511,Champions,5,4,4,0,163,2857.51,585.22
512,Champions,5,5,5,1,178,4391.72,637.13
513,Champions,5,5,4,2,193,2977.67,311.56
514,Clients réguliers,5,3,4,0,79,1358.49,300.59
519,Occasionnels,5,2,3,4,57,708.02,0.77
520,Endormis,1,1,1,293,0,0.0,232.57
521,Champions,5,5,5,1,195,4688.47,8.93
522,Champions,5,4,4,0,164,2803.06,3.29
523,Champions,5,5,5,0,202,4584.98,607.72
525,Clients réguliers,5,3,3,0,78,839.76,1427.98
526,Champions,5,4,4,4,86,1255.18,2083.93
527,Champions,5,5,4,0,176,3079.59,1641.14
529,Champions,5,5,5,0,202,3842.74,17.38
530,Champions,5,4,4,2,163,2855.36,706.39
531,Champions,5,5,5,1,198,3943.37,505.03
532,Clients réguliers,5,3,3,6,63,947.25,12213.04
533,Clients réguliers,5,3,2,1,72,675.31,10428.89
534,Champions,5,5,4,1,185,3270.56,153.97
538,Champions,5,5,5,0,188,3736.57,1174.84
539,Clients réguliers,5,3,3,1,72,855.9,407.05
540,Endormis,1,1,1,197,0,0.0,1032.17
541,Champions,5,5,5,0,196,5159.2,393.36
542,Clients réguliers,5,3,4,1,65,1429.98,4223.72
545,Clients réguliers,5,4,3,0,85,904.92,3898.25
546,Clients réguliers,4,3,4,11,73,1369.46,1964.51
547,Champions,5,5,5,1,193,3768.81,497.92
548,Champions,5,5,5,0,188,3825.87,1096.21
549,Épargnants peu actifs,4,2,2,8,44,562.47,4076.53
550,Clients réguliers,5,4,3,0,89,913.45,606.74
551,Épargnants peu actifs,5,2,2,3,32,629.39,6640.61
552,Champions,5,5,5,1,192,4203.83,500.5
553,Clients réguliers,5,4,3,6,85,1030.73,3258.17
556,Clients réguliers,5,3,3,3,78,946.39,6703.01
557,Champions,5,4,4,1,159,2601.81,190.76
558,Champions,5,5,5,0,185,3716.82,2152.6
559,Champions,5,4,5,0,158,3631.09,87.21
560,Champions,5,4,4,2,159,2731.23,2302.55
561,Champions,5,5,4,0,174,3171.34,1279.95
562,Épargnants peu actifs,1,1,1,248,0,0.0,4304.55
563,Endormis,1,1,1,295,0,0.0,1821.26
564,Champions,5,5,5,0,204,4032.25,735.39
565,Épargnants peu actifs,1,1,1,142,15,133.88,5268.11
566,Clients réguliers,5,3,2,1,63,431.52,13142.58
567,Épargnants peu actifs,1,1,1,232,0,0.0,15170.68
568,Champions,5,5,5,1,196,3489.38,631.57
569,Endormis,1,1,1,228,0,0.0,235.83
570,Clients réguliers,5,4,3,0,103,886.36,5631.93
572,Épargnants peu actifs,2,2,2,63,45,446.36,4912.64
573,Endormis,1,1,1,240,0,0.0,77.76
574,Clients réguliers,5,3,2,6,68,586.79,12601.37
576,Champions,5,5,5,0,189,4104.16,70.42
577,Clients réguliers,5,3,3,3,80,875.72,15596.66
578,Épargnants peu actifs,4,2,3,19,43,862.55,2799.25
579,Champions,5,4,5,0,166,4154.01,702.57
580,Champions,5,5,5,2,180,3765.99,585.57
581,Épargnants peu actifs,5,2,2,1,58,479.11,12601.85
582,Clients réguliers,5,3,3,0,73,1205.29,4280.71
584,Clients réguliers,5,4,3,2,85,848.01,1446.55
585,Endormis,1,1,1,216,0,0.0,1412.06
586,Endormis,1,1,1,204,0,0.0,141.83
587,Occasionnels,5,2,3,1,47,743.57,1984.43
588,Champions,5,5,5,2,204,3525.72,686.12
589,Champions,5,5,5,0,196,4443.7,1011.24
590,Champions,5,4,5,1,167,3625.67,1081.24
591,Champions,5,5,5,1,177,3915.11,861.06
592,Champions,5,5,4,0,179,3199.61,1245.35
593,Clients réguliers,5,3,4,0,82,1346.05,1824.77
594,Champions,5,5,5,0,200,5070.27,10.78
595,À risque,2,4,4,69,124,2900.59,20.34
596,Épargnants peu actifs,5,2,2,2,44,362.5,9199.19
597,Clients réguliers,5,3,3,3,76,742.93,265.31
599,Épargnants peu actifs,5,2,2,4,47,566.54,18628.32
600,Champions,5,5,5,1,174,3400.97,1289.06
601,Champions,5,5,5,0,177,4454.51,1577.81
602,Épargnants peu actifs,1,1,1,258,0,0.0,2781.67
603,Endormis,1,1,2,130,26,344.4,994.45
604,Champions,5,5,5,0,206,5108.62,310.99
605,Occasionnels,4,1,1,9,12,212.49,1104.51
606,Clients réguliers,5,4,3,3,91,1088.49,4511.81
608,Épargnants peu actifs,5,2,3,2,45,1148.06,6798.94
609,Champions,5,5,5,1,173,4268.76,491.3
610,Clients réguliers,5,3,2,3,66,353.09,6584.91
611,Champions,5,5,4,0,177,3053.49,3091.9
614,Champions,5,4,5,0,156,3381.97,421.88
615,Champions,5,5,5,1,194,4510.96,1500.07
616,Occasionnels,5,2,3,0,43,918.5,200.91
618,Champions,5,5,4,6,191,2417.57,870.75
619,Champions,5,5,4,0,189,2995.36,316.95
620,Champions,5,5,5,1,178,4376.47,1372.98
621,Champions,5,5,4,0,175,3271.6,242.93
622,Épargnants peu actifs,5,2,3,1,55,918.69,9051.66
624,Champions,5,5,4,0,174,3012.34,506.52
626,Champions,5,5,5,0,194,4339.4,1329.19
627,Épargnants peu actifs,1,1,1,184,0,0.0,3848.77
628,Clients réguliers,5,3,3,2,78,872.55,4585.21
629,Champions,5,5,4,1,203,3327.06,632.23
630,Endormis,1,1,1,258,0,0.0,1427.27
632,Champions,5,5,5,2,181,3813.66,9.34
633,Clients réguliers,5,3,2,2,62,620.37,396.35
635,Occasionnels,5,2,3,1,45,797.74,1824.93
636,Épargnants peu actifs,5,2,2,2,56,563.16,10250.13
637,Clients réguliers,5,3,2,2,61,325.82,1849.18
638,Champions,5,5,5,1,181,3858.91,425.42
639,Champions,5,5,4,0,171,3311.56,41.45
640,Clients réguliers,5,4,3,3,96,726.53,1383.28
641,Champions,5,5,5,0,174,4468.61,1247.25
642,Champions,5,4,4,1,91,1503.15,912.88
643,Clients réguliers,5,4,3,1,90,837.46,1585.77
